"No.","Time","Source","Destination","Protocol","Length","Info"
"62","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=e2c6) [Reassembled in #90]"
"63","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=e2c6) [Reassembled in #90]"
"64","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=e2c6) [Reassembled in #90]"
"65","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=e2c6) [Reassembled in #90]"
"66","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=e2c6) [Reassembled in #90]"
"67","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=e2c6) [Reassembled in #90]"
"68","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=e2c6) [Reassembled in #90]"
"69","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=e2c6) [Reassembled in #90]"
"70","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=e2c6) [Reassembled in #90]"
"71","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=e2c6) [Reassembled in #90]"
"72","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=e2c6) [Reassembled in #90]"
"73","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=e2c6) [Reassembled in #90]"
"74","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=e2c6) [Reassembled in #90]"
"75","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=e2c6) [Reassembled in #90]"
"76","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=e2c6) [Reassembled in #90]"
"77","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=e2c6) [Reassembled in #90]"
"78","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=e2c6) [Reassembled in #90]"
"79","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=e2c6) [Reassembled in #90]"
"80","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=e2c6) [Reassembled in #90]"
"81","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=e2c6) [Reassembled in #90]"
"82","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=e2c6) [Reassembled in #90]"
"83","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=e2c6) [Reassembled in #90]"
"84","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=e2c6) [Reassembled in #90]"
"85","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=e2c6) [Reassembled in #90]"
"86","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=e2c6) [Reassembled in #90]"
"87","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=e2c6) [Reassembled in #90]"
"88","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=e2c6) [Reassembled in #90]"
"89","0.000724","192.168.1.240","192.168.1.104","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=e2c6) [Reassembled in #90]"
"90","0.000724","192.168.1.240","192.168.1.104","ICMP","422","Echo (ping) reply    id=0x0001, seq=9/2304, ttl=128 (request in 45)"
"91","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=d4c8) [Reassembled in #135]"
"92","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=d4c8) [Reassembled in #135]"
"93","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=d4c8) [Reassembled in #135]"
"94","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=d4c8) [Reassembled in #135]"
"95","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=d4c8) [Reassembled in #135]"
"96","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=d4c8) [Reassembled in #135]"
"97","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=d4c8) [Reassembled in #135]"
"98","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=d4c8) [Reassembled in #135]"
"99","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=d4c8) [Reassembled in #135]"
